hour,AUC,Accuracy,Acc_class_0,Acc_class_1,Acc_class_2
58,0.8447143223259161,0.6652482269503546,0.7132352941176471,0.5991341991341991,0.7333333333333333
59,0.8314524942516762,0.6570921985815602,0.7602941176470589,0.5792207792207792,0.6577777777777778
60,0.8527263767988016,0.6988475177304964,0.7367647058823529,0.6727272727272726,0.6977777777777778
61,0.8513337351855826,0.6902482269503546,0.6977941176470589,0.7,0.6555555555555556
62,0.846490612506012,0.6694148936170212,0.7213235294117647,0.6242424242424243,0.6755555555555555
63,0.8651789603094564,0.6916666666666667,0.7477941176470588,0.6545454545454545,0.68
64,0.8893547943544154,0.6958333333333333,0.7455882352941176,0.6727272727272726,0.6599999999999999
65,0.8605518118726035,0.7041666666666667,0.7963235294117647,0.6264069264069263,0.7200000000000001
66,0.8746977630156276,0.7249999999999999,0.7955882352941176,0.6445887445887446,0.7799999999999999
67,0.8686371032438471,0.7125,0.8073529411764706,0.6735930735930735,0.64
68,0.8893127557279863,0.7458333333333333,0.8786764705882353,0.6532467532467532,0.72
69,0.8703841398120943,0.7208333333333333,0.7955882352941177,0.6818181818181819,0.6799999999999999
70,0.8721210931673372,0.75,0.8551470588235294,0.6909090909090908,0.7
71,0.8989086862643738,0.7666666666666667,0.8308823529411764,0.7095238095238094,0.7799999999999999
72,0.8873911087109294,0.7291666666666667,0.8433823529411765,0.6722943722943724,0.6599999999999999
73,0.8688429819718806,0.6875,0.6875,0.6913419913419914,0.68
74,0.8734749805628212,0.7333333333333334,0.7933823529411764,0.6809523809523809,0.74
75,0.8681999395894907,0.7,0.8058823529411765,0.6346320346320347,0.6599999999999999
76,0.8612479405283958,0.6791666666666667,0.7125,0.6272727272727272,0.7399999999999999
77,0.8628290164639125,0.7166666666666667,0.7720588235294118,0.7012987012987012,0.66
78,0.8541426539004323,0.6875,0.7963235294117647,0.6151515151515152,0.6599999999999999
79,0.8582767624638695,0.6958333333333333,0.8294117647058823,0.5982683982683983,0.68
80,0.8494853951283432,0.6708333333333333,0.7147058823529412,0.6264069264069263,0.7
81,0.8543939265731673,0.6666666666666666,0.6742647058823529,0.6337662337662338,0.7200000000000001
82,0.8674383870757664,0.7125,0.8183823529411764,0.645021645021645,0.68
83,0.8544085828329818,0.6916666666666667,0.8080882352941178,0.6363636363636364,0.62
